state,classification
FL,Struck by vehicle
FL,Struck by vehicle
FL,Gunshot
FL,Gunshot
FL,Gunshot
FL,Gunshot
FL,Gunshot
FL,Gunshot
FL,Gunshot
FL,Gunshot
FL,Gunshot
FL,Gunshot
FL,Gunshot
FL,Taser
FL,Gunshot
FL,Gunshot
FL,Gunshot
FL,Gunshot
FL,Gunshot
FL,Gunshot
FL,Gunshot
FL,Gunshot
FL,Gunshot
FL,Gunshot
FL,Gunshot
FL,Gunshot
FL,Gunshot
FL,Gunshot
FL,Gunshot
FL,Gunshot
FL,Gunshot
FL,Gunshot
FL,Gunshot
FL,Gunshot
FL,Taser
FL,Gunshot
GA,Gunshot
GA,Gunshot
GA,Gunshot
GA,Gunshot
GA,Gunshot
GA,Gunshot
GA,Gunshot
GA,Gunshot
GA,Gunshot
GA,Gunshot
GA,Gunshot
GA,Gunshot
GA,Gunshot
GA,Struck by vehicle
GA,Gunshot
GA,Gunshot
GA,Gunshot
GA,Gunshot
GA,Gunshot
GA,Gunshot
GA,Gunshot
GA,Gunshot
GA,Gunshot
GA,Gunshot
GA,Gunshot
GA,Gunshot
GA,Gunshot
GA,Death in custody
GA,Gunshot
GA,Gunshot
HI,Gunshot
HI,Gunshot
HI,Gunshot
HI,Death in custody
HI,Gunshot
HI,Gunshot
HI,Gunshot
IA,Gunshot
IA,Gunshot
IA,Gunshot
IA,Gunshot
IA,Gunshot
ID,Gunshot
ID,Gunshot
ID,Gunshot
ID,Gunshot
ID,Gunshot
IL,Gunshot
IL,Gunshot
IL,Gunshot
IL,Gunshot
IL,Gunshot
IL,Gunshot
IL,Gunshot
IL,Gunshot
IL,Gunshot
IL,Gunshot
IL,Gunshot
IL,Gunshot
IL,Gunshot
IL,Gunshot
IL,Gunshot
IL,Gunshot
IL,Gunshot
IL,Gunshot
IL,Gunshot
IL,Gunshot
IL,Gunshot
IL,Gunshot
IL,Gunshot
IL,Gunshot
IL,Gunshot
IL,Gunshot
IL,Gunshot
IL,Gunshot
IL,Death in custody
IN,Struck by vehicle
IN,Gunshot
IN,Gunshot
IN,Gunshot
IN,Gunshot
IN,Gunshot
IN,Gunshot
IN,Death in custody
IN,Gunshot
IN,Taser
IN,Gunshot
IN,Gunshot
IN,Gunshot
IN,Gunshot
IN,Gunshot
IN,Gunshot
IN,Gunshot
IN,Struck by vehicle
IN,Struck by vehicle
IN,Struck by vehicle
KS,Gunshot
KS,Gunshot
KS,Gunshot
KS,Gunshot
KS,Death in custody
KS,Gunshot
KS,Gunshot
KS,Gunshot
KS,Gunshot
KS,Gunshot
KS,Gunshot
KY,Gunshot
KY,Gunshot
KY,Gunshot
KY,Gunshot
KY,Gunshot
KY,Gunshot
KY,Gunshot
KY,Taser
KY,Gunshot
KY,Gunshot
KY,Gunshot
KY,Gunshot
KY,Gunshot
KY,Gunshot
KY,Gunshot
KY,Gunshot
KY,Gunshot
KY,Gunshot
KY,Gunshot
KY,Gunshot
KY,Gunshot
KY,Struck by vehicle
LA,Gunshot
LA,Gunshot
LA,Gunshot
LA,Gunshot
LA,Gunshot
LA,Gunshot
LA,Gunshot
LA,Gunshot
LA,Gunshot
LA,Gunshot
LA,Gunshot
LA,Gunshot
LA,Taser
LA,Gunshot
LA,Gunshot
LA,Gunshot
LA,Gunshot
LA,Gunshot
LA,Gunshot
LA,Gunshot
LA,Gunshot
LA,Struck by vehicle
MA,Gunshot
MA,Gunshot
MA,Gunshot
MA,Gunshot
MA,Gunshot
MA,Gunshot
MA,Gunshot
MA,Taser
MA,Gunshot
MA,Gunshot
MA,Gunshot
MA,Gunshot
MA,Gunshot
MA,Gunshot
MD,Gunshot
MD,Gunshot
MD,Gunshot
MD,Gunshot
MD,Gunshot
MD,Gunshot
MD,Gunshot
MD,Gunshot
MD,Gunshot
MD,Gunshot
MD,Gunshot
MD,Gunshot
MD,Gunshot
MD,Gunshot
MD,Gunshot
MD,Gunshot
ME,Gunshot
ME,Gunshot
MI,Gunshot
MI,Gunshot
MI,Gunshot
MI,Struck by vehicle
MI,Gunshot
MI,Gunshot
MI,Taser
MI,Gunshot
MI,Gunshot
MI,Gunshot
MI,Gunshot
MI,Gunshot
MI,Gunshot
MI,Gunshot
MI,Gunshot
MI,Gunshot
MN,Gunshot
MN,Gunshot
MN,Gunshot
MN,Gunshot
MN,Gunshot
MN,Gunshot
MN,Gunshot
MN,Gunshot
MN,Gunshot
MN,Gunshot
MN,Gunshot
MN,Gunshot
MN,Gunshot
MN,Gunshot
MO,Gunshot
MO,Gunshot
MO,Gunshot
MO,Gunshot
MO,Gunshot
MO,Gunshot
MO,Gunshot
MO,Gunshot
MO,Gunshot
MO,Gunshot
MO,Gunshot
MO,Gunshot
MO,Gunshot
MO,Gunshot
